Census_Tract,Ozone,PM2_5,Diesel_PM,Pesticides,Tox_Release,Traffic
6019001100,0.065,15.4,48.524,2.75,18551.95719,909.14
6071001600,0.062,13.31,38.556,1.37,7494.236622,782.26
6019000200,0.062,15.4,47.445,3.03,12454.94841,576.52
6077000801,0.046,12.54,24.117,12.93,2387.782922,1305.01
6019001500,0.065,15.4,18.846,3518.41,21790.70672,435.16
6037204920,0.046,12.89,56.52,0.0,39040.17995,2943.44
6077000300,0.046,13.44,21.76,172.49,707.5361575,885.52
6019001000,0.065,15.4,20.848,1435.93,6996.962409,243.54
6037206050,0.046,12.89,53.958,0.0,10378.23648,2810.82
6019000400,0.065,15.4,54.356,114.96,125383.892,815.36
6099002100,0.053,12.89,24.585,14.38,1033.797912,606.03
6029002500,0.065,19.18,20.42,3.47,49.70815719,675.16
6019000600,0.065,15.4,54.243,88.58,7030.451231,591.37
6019001201,0.065,15.4,27.565,0.0,19782.60168,347.88
6037205120,0.046,12.89,50.075,0.0,19178.66447,887.21
6019000902,0.065,15.4,47.943,683.81,25476.58305,170.75
6037291220,0.044,12.05,27.16,68.63,8937.64998,2467.25
6019001202,0.065,15.4,27.699,11.74,8837.26905,291.45
6019000800,0.062,15.4,13.163,1031.87,7265.254475,127.2
6019000300,0.065,15.4,53.066,26.78,35783.10251,434.57
6037239202,0.046,12.47,26.33,0.0,4808.807974,930.42
6037226002,0.046,12.89,46.142,0.0,6139.175596,1929.83
6077000700,0.046,13.5,22.055,73.13,810.2517341,1022.65
6019000901,0.065,15.4,47.24,699.89,13674.44729,195.77
6077000100,0.046,13.53,19.735,18.64,629.2738636,495.25
6099002302,0.053,12.89,22.835,19.78,658.156468,910.22
6071004900,0.065,12.47,32.455,0.0,1111.567743,847.17
6037535400,0.044,12.05,25.04,0.0,5904.681637,1094.36
6019000700,0.062,15.4,19.621,20.94,7246.016392,438.28
6065030300,0.065,12.89,29.001,0.0,1186.290627,1045.59
6019007100,0.065,15.82,15.227,388.51,735.6523341,543.06
6037243100,0.044,12.05,25.04,0.0,5852.275263,2521.07
6037543305,0.042,11.63,31.198,36.2,6896.098953,1418.39
6071005701,0.065,12.05,38.37,0.0,707.1247544,747.98
6037204600,0.046,12.89,54.194,0.0,10365.37086,2937.84
6037227010,0.046,12.89,42.594,0.0,6136.500335,982.78
6099002301,0.053,12.89,17.546,840.89,593.611198,1090.88
6077001900,0.046,13.61,20.703,17.93,582.0127436,824.07
6037206032,0.046,12.89,62.68,0.0,7806.44435,2658.05
6037226001,0.046,12.89,41.684,0.0,5941.164907,2289.68
6037239501,0.046,12.05,26.33,0.0,5153.308202,1289.16
6019002000,0.062,15.4,38.25,0.02,3657.292495,827.41
6077005119,0.05,12.05,13.467,1994.23,1144.795122,1088.07
6037203100,0.046,12.89,31.02,0.0,6735.289812,2969.91
6037530700,0.046,12.47,31.02,0.0,8000.0,1829.52
6073005000,0.038,11.21,110.8,0.0,1176.628601,1144.32
6037301601,0.053,12.05,25.934,0.0,1882.547416,2095.06
6037185320,0.046,12.89,28.12,0.0,3996.547625,1781.48
6037543202,0.042,12.05,35.92,0.0,6626.914092,1641.48
6065030502,0.065,12.89,43.217,0.0,940.1426992,1545.2
6071012500,0.065,12.47,29.033,0.0,800.1737046,1617.04
6037531302,0.046,12.47,56.52,0.0,58357.83013,3299.97
6019001301,0.065,15.4,24.31,0.29,5811.241525,562.71
6019002502,0.065,15.4,43.346,0.0,2492.474237,1119.37
6037402801,0.057,12.89,22.902,0.0,7176.500215,648.27
6019001304,0.065,15.4,24.31,0.2,8703.269449,365.32
6077002201,0.046,12.85,21.699,27.13,763.4048111,318.32
6037532304,0.046,12.05,26.108,0.0,12105.33825,1825.61
6019001303,0.065,15.4,24.31,0.0,15053.03477,347.82
6029002200,0.065,19.6,25.57,0.0,38.46174593,583.48
6037205110,0.046,12.89,42.82,0.0,14659.83047,974.3
6037570502,0.042,11.63,24.22,7.0,6181.981699,1191.12
6037291210,0.044,12.05,27.173,26.86,7007.6189,2498.31
6037219901,0.046,12.05,24.45,0.07,2007.831902,3125.62
6037534202,0.046,12.05,16.885,38.62,8608.657111,713.01
6037540400,0.044,12.05,25.04,0.0,5968.050135,2333.93
6065046700,0.065,12.89,15.573,0.03,604.8258591,1258.41
6029002301,0.065,19.6,25.148,1.42,22.92078576,509.04
6071002501,0.065,13.31,29.312,22.12,5424.081436,1666.33
6019008502,0.065,16.24,9.162,3880.18,1549.949899,293.05
6019000502,0.065,15.4,54.397,5.16,3938.730359,982.2
6037242100,0.044,12.05,25.04,0.0,5842.945149,832.63
6037203500,0.046,12.89,62.68,0.0,6863.580217,3513.85
