Census_Tract,Total_Population,ZIP,Longitude,Latitude
6019001100,3174,93706,-119.7816961,36.7096952
6071001600,6133,91761,-117.6180131,34.0577805
6019000200,3167,93706,-119.8055044,36.7354914
6077000801,6692,95203,-121.3145235,37.9405169
6019001500,2206,93725,-119.7178427,36.6816
6037204920,2598,90023,-118.1974975,34.0175004
6077000300,2396,95203,-121.3020724,37.952421
6019001000,4106,93706,-119.804314,36.6977507
6037206050,2146,90023,-118.2244531,34.0299036
6019000400,6343,93721,-119.7762091,36.7276563
6099002100,4165,95354,-120.9667385,37.6287607
6029002500,9122,93307,-118.9920281,35.3372541
6019000600,6161,93721,-119.7933565,36.743063
6019001201,5936,93725,-119.7577716,36.7107523
6037205120,3618,90023,-118.2117956,34.0187546
6019000902,5252,93706,-119.8042772,36.717769
6037291220,3353,90247,-118.286709,33.8771395
6019001202,4756,93725,-119.7410277,36.7026849
6019000800,964,93706,-119.831179,36.7067181
6019000300,3609,93706,-119.8010347,36.726462
6037239202,4724,90001,-118.2649765,33.9856783
6037226002,1604,90021,-118.2477686,34.0326196
6077000700,5269,95206,-121.2878729,37.9431727
6019000901,3151,93706,-119.804301,36.7104697
6077000100,3863,95202,-121.2853628,37.953996
6099002302,4010,95351,-120.982756,37.6209695
6071004900,7590,92410,-117.3168792,34.100314
6037535400,3495,90002,-118.2314205,33.947117
6019000700,3921,93706,-119.8277069,36.7345353
6065030300,4497,92501,-117.3763853,33.9798271
6019007100,7904,93662,-119.6279131,36.5629769
6037243100,5350,90059,-118.2350934,33.9327963
6037543305,2666,90220,-118.2238692,33.8611473
6071005701,2216,92401,-117.2926063,34.1006404
6037204600,4101,90023,-118.2158297,34.0366414
6037227010,4662,90011,-118.2469968,34.0185256
6099002301,7841,95351,-121.0188436,37.6049206
6077001900,5592,95205,-121.2605554,37.9516762
6037206032,5275,90033,-118.2246242,34.046259
6037226001,2068,90021,-118.2502739,34.0244835
6037239501,3454,90001,-118.2628927,33.9729857
6019002000,6369,93728,-119.8328803,36.7572824
6077005119,6006,95330,-121.3027448,37.8446844
6037203100,4839,90033,-118.1964766,34.059079
6037530700,2213,90063,-118.183979,34.0592143
6073005000,2227,92113,-117.1411746,32.6948502
6037301601,6198,91201,-118.2865467,34.1623874
6037185320,3081,90065,-118.2242419,34.0887194
6037543202,4867,90220,-118.230032,33.8798617
6065030502,2220,92507,-117.3560514,33.9857419
6071012500,4268,92324,-117.3233041,34.0602092
6037531302,6709,90023,-118.1827241,34.0169019
6019001301,5653,93702,-119.7499923,36.732259
6019002502,5431,93702,-119.7634654,36.7540827
6037402801,5170,91766,-117.7349296,34.0542821
6019001304,5796,93702,-119.7455349,36.7250147
6077002201,2771,95206,-121.2686436,37.9313083
6037532304,3987,90040,-118.1526793,33.9862905
6019001303,2888,93702,-119.7591482,36.7250069
6029002200,6537,93307,-118.9879161,35.3613217
6037205110,3766,90023,-118.2142985,34.0245059
6037570502,6616,90805,-118.1668021,33.8674703
6037291210,4967,90247,-118.2870814,33.8886904
6037219901,5234,90016,-118.3605226,34.0297377
6037534202,5790,90201,-118.1611103,33.959603
6037540400,2384,90059,-118.2282398,33.9326754
6065046700,4442,92518,-117.278368,33.8891026
6029002301,9743,93307,-118.9452577,35.3590376
6071002501,5840,92335,-117.4772152,34.0743336
6019008502,7929,93648,-119.5507133,36.6214407
6019000502,3606,93701,-119.781537,36.7444057
6037242100,2714,90002,-118.2336329,33.945396
6037203500,3064,90033,-118.2185819,34.057226
6037302401,5944,91204,-118.2597456,34.1316179
6067005301,1823,95811,-121.4825199,38.5916037
6037204820,2274,90023,-118.2058412,34.0238161
6037532302,4707,90023,-118.1751711,34.0096885
6073004900,5028,92113,-117.138677,32.7018526
6037229420,4729,90011,-118.2608177,33.9925311
6037541001,1164,90248,-118.2749503,33.8934521
6099002200,6223,95351,-121.0038051,37.6223838
6073003902,4927,92113,-117.1263197,32.696749
6037239701,4261,90003,-118.2752632,33.966092
6077002300,5020,95206,-121.278407,37.9292396
6037570301,7330,90805,-118.1922187,33.8676075
6071012400,3617,92408,-117.2948174,34.0741251
6037128302,4688,91411,-118.4605367,34.1838638
6037242700,5273,90059,-118.2426486,33.9363535
6065031300,2651,92504,-117.4058257,33.9303688
6071007000,7898,92324,-117.3134436,34.0744598
6037533001,4527,90001,-118.24555,33.9802221
6037121222,5293,91352,-118.3919494,34.2321411
6037532800,4409,90001,-118.2520926,33.9864059
6037239601,3755,90003,-118.2752977,33.9728371
6037575401,5155,90813,-118.200174,33.7863532
6077002401,5001,95206,-121.2897337,37.9290303
6037534201,4439,90201,-118.1672627,33.9580353
6037122410,3794,91605,-118.3919739,34.2044832
6037239702,3927,90003,-118.2750006,33.962202
6073003601,3250,92113,-117.1165151,32.6909862
6037228100,4916,90011,-118.2439607,34.009617
6037292000,6543,90501,-118.3021541,33.8484731
6037434001,4395,91732,-118.0141173,34.0520775
6037122122,2439,91352,-118.3736105,34.2197648
6099001500,6551,95358,-121.0374635,37.6349769
6037242600,4409,90059,-118.2502423,33.932376
6077000900,5859,95203,-121.3278662,37.9577717
6037228900,3216,90058,-118.2430143,33.9920544
6037433302,1595,91732,-118.0143495,34.0629878
6099001400,6430,95350,-121.0204403,37.6627736
6099002402,5559,95358,-121.0092162,37.6010166
6071005600,7101,92410,-117.2922119,34.1173182
6019003001,3175,93727,-119.7092464,36.7577958
6037402304,3848,91768,-117.7658059,34.0617068
6037122420,5050,91605,-118.3832842,34.20361
6037536103,5516,90280,-118.1850472,33.9427497
6037199700,3411,90031,-118.2202429,34.0678503
6029002100,3852,93307,-118.9985321,35.3604075
6037219902,4113,90016,-118.368517,34.02931
6037206300,7540,90013,-118.2432134,34.0411108
6037123206,2945,91606,-118.3748665,34.1937075
6077000600,2279,95205,-121.2731105,37.9483459
6065030104,6922,92501,-117.3664576,34.0057669
6071004004,5076,92324,-117.3600222,34.0382751
6037540901,4994,90061,-118.2717325,33.9194635
6037532603,3319,90255,-118.2333907,33.9846156
6029002400,7478,93307,-118.9490692,35.3238825
6065042505,3639,92553,-117.2825158,33.9293086
6071002204,6139,92335,-117.5103022,34.0737522
6037239502,3372,90001,-118.2630441,33.9693296
6019003805,6852,93722,-119.8542854,36.7785171
6037553601,4750,90723,-118.1692228,33.9046634
6037402804,4085,91766,-117.7322415,34.0483608
6019001800,4615,93706,-119.8121471,36.65561
6071001813,4576,91761,-117.6422818,34.0482829
6037534301,4636,90201,-118.1852919,33.9599735
6037206200,3386,90012,-118.2415978,34.046994
6037432801,2568,91731,-118.0467069,34.0769216
6037601600,4375,90304,-118.3638538,33.9348001
6037229410,3343,90011,-118.2695618,33.9922359
6037601401,4683,90301,-118.3700611,33.9590575
6037239602,3313,90003,-118.2749023,33.9694507
6037127400,5818,91406,-118.4782103,34.2102531
6037302302,4895,91204,-118.261783,34.1403264
6037228800,5575,90058,-118.2432565,33.9992469
6071005500,8618,92405,-117.2905586,34.124986
6037533002,2822,90001,-118.2391487,33.9774904
6037543100,6759,90220,-118.2539533,33.881033
6037575801,2446,90813,-118.2014531,33.7796381
6077001500,8384,95205,-121.2764321,37.9805494
6037532900,6681,90001,-118.2520343,33.9790503
6029002302,3378,93307,-118.975107,35.3597374
6037291130,3582,90248,-118.2871419,33.9024424
6037553701,4176,90723,-118.1780909,33.9049478
6037535101,7306,90001,-118.2488118,33.9644276
6019002601,5821,93702,-119.7634304,36.7468175
