Census_Tract,Asthma,Low_Birth_Weight,Cardiovascular_Disease,Poverty,Unemployment,Traffic
6019001100,131.64,7.44,14.13,76.3,17.6,909.14
6071001600,60.66,7.04,12.94,72.5,12.3,782.26
6019000200,142.12,10.16,14.96,86.8,16.1,576.52
6077000801,142.17,6.23,14.72,61.3,19.6,1305.01
6019001500,90.48,4.5,12.82,66.4,18.6,435.16
6037204920,68.74,7.35,10.4,66.4,11.6,2943.44
6077000300,169.56,8.36,12.7,76.2,14.4,885.52
6019001000,142.28,7.83,14.96,74.5,20.0,243.54
6037206050,58.03,6.71,7.24,75.7,28.5,2810.82
6019000400,107.8,4.79,14.75,83.4,23.5,815.36
6099002100,94.54,5.37,13.59,78.3,19.3,606.03
6029002500,89.83,6.28,11.77,73.8,28.5,675.16
6019000600,118.86,7.87,10.12,89.5,21.7,591.37
6019001201,89.51,5.28,12.74,70.7,20.1,347.88
6037205120,68.74,5.14,10.4,78.3,16.9,887.21
6019000902,142.28,9.24,14.96,77.5,21.8,170.75
6037291220,66.49,6.54,8.87,53.4,8.9,2467.25
6019001202,78.61,4.94,11.16,77.8,21.6,291.45
6019000800,142.28,8.9,14.96,76.5,18.5,127.2
6019000300,142.28,8.12,14.96,78.7,11.5,434.57
6037239202,91.39,7.0,12.62,76.3,13.6,930.42
6037226002,149.88,5.71,8.24,65.3,11.1,1929.83
6077000700,123.86,4.25,13.58,79.5,16.5,1022.65
6019000901,142.28,9.09,14.96,80.8,26.2,195.77
6077000100,176.3,6.53,10.87,86.0,30.8,495.25
6099002302,95.77,5.42,15.79,73.5,24.1,910.22
6071004900,121.39,5.97,15.23,74.0,20.0,847.17
6037535400,88.42,5.27,12.7,75.4,17.9,1094.36
6019000700,142.18,9.84,14.94,65.6,11.5,438.28
6065030300,108.89,7.11,12.27,56.2,18.4,1045.59
6019007100,101.34,5.92,11.65,71.2,15.3,543.06
6037243100,105.29,9.99,11.72,76.0,15.0,2521.07
6037543305,106.87,10.0,12.47,34.1,12.1,1418.39
6071005701,131.79,8.97,18.3,89.3,17.4,747.98
6037204600,73.07,5.81,9.25,71.0,14.9,2937.84
6037227010,64.02,6.04,9.65,72.2,11.8,982.78
6099002301,79.42,5.5,12.24,65.6,23.4,1090.88
6077001900,94.01,5.1,12.91,75.5,15.6,824.07
6037206032,95.89,4.17,10.33,69.2,8.2,2658.05
6037226001,87.25,6.16,9.3,79.3,4.1,2289.68
6037239501,72.52,7.41,10.79,72.2,17.6,1289.16
6019002000,91.21,8.44,8.81,80.7,21.6,827.41
6077005119,65.67,6.3,10.67,34.7,11.3,1088.07
6037203100,76.55,5.17,8.65,76.1,14.9,2969.91
6037530700,54.46,8.0,10.53,54.3,19.0,1829.52
6073005000,127.1,5.4,9.63,82.8,17.2,1144.32
6037301601,32.65,6.33,9.9,49.9,12.2,2095.06
6037185320,69.42,7.05,7.73,65.6,13.3,1781.48
6037543202,110.81,5.2,12.82,62.9,14.8,1641.48
6065030502,61.55,6.69,9.04,64.8,17.3,1545.2
6071012500,95.84,7.47,16.38,70.0,7.3,1617.04
6037531302,55.5,5.19,8.58,65.6,14.4,3299.97
6019001301,119.79,6.59,17.15,82.7,20.3,562.71
6019002502,115.44,7.2,16.4,87.5,23.1,1119.37
6037402801,66.33,6.36,9.77,71.8,11.6,648.27
6019001304,116.56,6.17,16.69,81.4,22.1,365.32
6077002201,128.15,9.28,14.74,68.3,15.0,318.32
6037532304,56.67,5.29,10.24,47.7,12.6,1825.61
6019001303,98.82,7.93,14.14,92.1,13.0,347.82
6029002200,89.83,8.2,11.77,80.6,35.4,583.48
6037205110,68.74,5.45,10.4,78.8,5.5,974.3
6037570502,87.58,7.45,10.71,45.2,15.8,1191.12
6037291210,70.23,6.18,9.31,53.0,9.1,2498.31
6037219901,100.42,6.1,9.96,74.8,12.6,3125.62
6037534202,48.15,6.44,10.08,75.4,17.1,713.01
6037540400,90.58,4.68,10.34,80.2,18.3,2333.93
6065046700,66.89,6.75,10.66,67.8,21.3,1258.41
6029002301,86.67,6.29,11.35,76.3,21.8,509.04
6071002501,69.46,6.02,12.25,50.0,10.4,1666.33
6019008502,102.83,5.83,13.81,74.7,18.7,293.05
6019000502,124.96,8.32,11.31,80.7,13.4,982.2
6037242100,88.42,5.87,12.7,87.2,16.9,832.63
6037203500,95.93,4.36,10.33,56.5,11.2,3513.85
